検索用,単語,感想,,商品説明,,備考／解説,該当法令★
,,ＯＫ,ＮＧ,ＯＫ,ＮＧ,,
しげき,刺激,不可,「刺激を感じない」「刺激なく」,公式HPに記載があれば可,公式HPに記載がない場合は不可…「刺激を与えない商品」「刺激のない商品」,”刺激”に関する言及は安全性の保証になるためNG,医薬品適正広告基準３条（５）
あんぜん,安全,不可,「〇〇だから安全」,公式HPに記載があれば可,公式HPに記載がない場合は不可…「安全な商品」,”安心／安全”と記載するのは安全性の保証になるためNG,医薬品適正広告基準３条（５）
あんしん,安心,不可,「〇〇だから安心」,不可,公式HPに記載がない場合は不可…「安心な商品」,,
さいこう,最高,不可,「最高の〇〇」,不可,不可,”最高”などの最上級表現はNG,医薬品適正広告基準３条（６）
さいきょう,最強,不可,「効き目最強」,不可,,強調表現はNGの為,医薬品適正広告基準３条（６）
きょうりょく,強力,不可,「強力な効き目」,不可,「強力な商品」,強調表現はNGの為,
つよい,強い,不可,「刺激に強い」,公式HPに記載があれば可…「汗・皮脂に強い商品」,公式HPに記載がない場合は不可…「崩れに強い商品」,強調表現はNGの為,
つよめ,強め,不可,「（効果）が強め」「強めの（効果）」,公式HPに記載があれば可,「効果が強めな商品」,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
つよかった,強かった,不可,「（効果）が強かった」,―,―,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
つよ,強,不可,「（効果）が強い」,公式HPに記載があれば可,「効果が強い」,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
さいだい,最大,不可,「最大の効果を発揮してくれる」,不可,「最大効果の商品」,最上級表現はNGの為,医薬品適正広告基準３条（６）
さいこうきゅう,最高級,不可,「最高級〇〇配合」,不可,「最高級の商品」,最上級表現はNGの為,医薬品適正広告基準３条（６）
さいじょうきゅう,最上級,不可,「最上級○○配合」,不可,「最上級の商品」,最上級表現はNGの為,医薬品適正広告基準３条（６）
さいこうほう,最高峰,不可,「最高峰○○」,公式HPに記載があれば可　※但しHP内の注釈表記とセットで記載することがマスト　「最高峰のパワー」※注釈～～,公式HPに記載がない場合は不可,最上級表現はNGの為,医薬品適正広告基準３条（６）
いちい,1位,不可,「〇〇で１位なんだって！」,不可,「〇〇で１位をとった商品」,ナンバーワン表記は景表法上NG,景品表示法　優良誤認表示
なんばーわん,No1,,「〇〇でNo1なんだって！」,不可,「〇〇でNo.1をとった商品」,ナンバーワン表記は景表法上NG,景品表示法　優良誤認表示
いちばん,1番,「１番好き」「私の中で１番」,「１番〇〇」「１番良い」,根拠の記載が無い場合不可。修正必須。,「１位の期間」「調査機関」「ランキングの範囲」の記載必須,商品説明に使用すると景表法に抵触するため,景品表示法　優良誤認表示
つかれ,疲れ,不可,「疲れを癒す」「肌の疲れに効く」,不可,「疲れに効く商品」,疲労回復表現は化粧品の効果の範囲ではないためNG,医薬品適正広告基準３条（８）
あれるぎー,アレルギー,不可,「アレルギー肌でも使えた」等,「アレルギーテスト済み」を参照,―,アレルギーテスト済を参照,医薬品適正広告基準３条（５）
あれるぎーてすとずみ,アレルギーテスト済,「すべての人にアレルギーが起こらない訳ではない」の一文要,ー,「すべての人にアレルギーが起こらない訳ではない」の一文要,ー,記載したい場合は「すべての人にアレルギーが起こらない訳ではない」の一文要,医薬品適正広告基準３条（５）
しんとう,浸透,不可,「浸透した」「浸透する」「浸透が良い」,「角層まで浸透する商品」「髪の内部へ浸透する商品,ー,商品説明で”浸透”を使う場合は、「角層」「髪の内部」と部位の指定が必須,医薬品適正広告基準３条（５）（８）
しんとうりょく,浸透力,不可,「浸透力がある」「浸透力の良い」,「角層までの浸透力が高い商品」,ー,商品説明で”浸透力”と使いたい場合は、「角層」「髪の内部」と部位の指定が必要,医薬品適正広告基準３条（５）（８）
おくふかく,奥深く,不可,「奥深くまで浸透」,公式HPに記載があれば可,公式HPに記載がない場合は不可…「奥深くまで浸透する商品」,「角層」「髪の内部」以外に浸透するような表現は不可,医薬品適正広告基準３条（８）
おく,奥,不可,「奥まで浸透」,公式HPに記載があれば可,公式HPに記載がない場合は不可…「奥まで浸透する商品」,「角層」「髪の内部」以外に浸透するような表現は不可,医薬品適正広告基準３条（８）
うちがわ,内側,不可,「内側まで浸透」,公式HPに記載があれば可,公式HPに記載がない場合は不可…「内側まで浸透する商品」,「角層」「髪の内部」以外に浸透するような表現は不可,医薬品適正広告基準３条（８）
ないぶ,内部,不可,「内部まで浸透」,公式HPに記載があれば可,公式HPに記載がない場合は不可…「内部まで浸透する商品」,「角層」「髪の内部」以外に浸透するような表現は不可,医薬品適正広告基準３条（８）
さいぼう,細胞,不可,「細胞レベルで〇〇」,不可,「細胞レベル〇〇できる商品」,細胞に対する効果は、化粧品では標榜不可,医薬品適正広告基準３条（８）
かいふく,回復,不可,病気等が治る表現、疲労回復表現等,不可,病気等が治る表現、疲労回復表現等,治る、治療、回復する表現は化粧品では使用できない,医薬品適正広告基準３条（８）
ちゆ,治癒,不可,病気等が治る表現、疲労回復表現等,不可,病気等が治る表現、疲労回復表現等,治る、治療、回復する表現は化粧品では使用できない,医薬品適正広告基準３条（８）
かいぜん,改善,不可,体質、肌質が改善する表現、「〇〇が改善した」,不可,体質、肌質が改善する表現、「〇〇改善が期待できる商品」,改善についての効果は、化粧品では標榜不可,医薬品適正広告基準３条（８）
せんよう,専用,不可,「〇〇専用商品」,「〇〇肌用の商品」なら可,ー,特定の用法用量に言及する表現は化粧品では標榜不可,医薬品適正広告基準３条（８）
しみ,シミ,「シミが隠れる」,「シミが消える、薄くなる」,「シミを隠せる商品」,「シミが消える、薄くなる商品」,特定の成分配合の場合は、「シミ改善」と言える,医薬品適正広告基準３条（８）
しわ,シワ,「シワが隠れる」,「シワが消える、薄くなる」,「シワを隠せる商品」,「シワが消える、薄くなる商品」,特定の成分配合の場合は、「シワ改善」と言える,医薬品適正広告基準３条（８）
ろうかぼうし,老化防止,不可,「老化防止に！」,不可,「老化防止を期待できる商品」,化粧品の効果を逸脱するためNG(老化は止まらない),医薬品適正広告基準３条（８）
わかがえり,若返り,不可,「肌の若返りを期待」,不可,「〇〇を若返らせる商品」,化粧品の効果を逸脱するためNG(人は若返らない),医薬品適正広告基準３条（８）
かおやせ,顔痩せ,不可,「顔痩せできる」,不可,「顔痩せもできるスキンケア商品」,化粧品の効果を逸脱するためNG,医薬品適正広告基準３条（８）
でとっくす,デトックス,不可,「デトックス効果のある」,不可,「デトックス効果のある商品」,「デトックス」は医薬品にしか使えない単語のためNG,医薬品適正広告基準３条（８）
ぴーりんぐ,ピーリング,「(物理効果)によりピーリングできます」,「ケミカルピーリング」はＮＧ,"「乾燥によるくすみにうるおいを与える商品」
「（メーキャップ効果で）くすみを隠せる商品」",物理効果を表示しない限り不可,「ケミカルピーリング」は医療行為のためNG,医薬品適正広告基準３条（８）
くすみ,くすみ,「(メーキャップ効果)によりくすみを飛ばす」「(メーキャップ効果)によりくすみをぼかす」,「(スキンケア)によりくすみがなくなる」,,ー,くすみとは①汚れの蓄積②乾燥③古い角質層によるものである,医薬品適正広告基準３条（５）
とうめいかん,「(スキンケア)により透明感が出た」,「(メーキャップ効果)により透明感が出る」,「(スキンケア)により透明感が出た」,公式HPに記載があれば可（スキンケア・メイクアップ効果どちらも）,公式HPに記載がない場合は不可,化粧品の効果を逸脱するためNG,医薬品適正広告基準３条（８）
びはく,美白,メーキャップ化粧品による場合可,スキンケア化粧品の場合不可,メーキャップ効果、医薬部外品で説明をつける場合可,スキンケア化粧品の場合不可,"※美白：メラニンの生成を抑え、シミそばかすを防ぐ等（1投稿内に必須で記載する）
「#美白」→「＃美白ケア」（＃保湿と同じように前後の文章がなく効果捉えられる可能性がある為NG",医薬品適正広告基準３条（８）
びはくこうか,美白効果,メーキャップ化粧品によるの場合可,スキンケア化粧品の場合不可,メーキャップ化粧品、医薬部外品で説明をつける場合可,化粧品の場合不可,※美白：メラニンの生成を抑え、シミそばかすを防ぐ等（1投稿内に必須で記載する）,医薬品適正広告基準３条（８）
ほわいとにんぐ,ホワイトニング,不可,不可,不可,「肌のホワイトニングができる商品」「ホワイトニング効果のある商品」,肌の色自体が変化する表現はNG,医薬品適正広告基準３条（８）
しろ,白く,メーキャップ化粧品による場合可,スキンケア化粧品の場合不可,メーキャップ化粧品の場合可,スキンケア化粧品の場合不可,肌の色自体が変化する表現はNG。メーキャップ効果なら可,医薬品適正広告基準３条（８）
えいじんぐ,エイジング,不可,「エイジングケア」参照。,「エイジングケア」参照。それ以外は不可,―,「エイジングケア」参照。,医薬品適正広告基準３条（８）
えいじんぐさいん,エイジングサイン,不可,「エイジングサインがなくなる」等,「エイジングサインが出る」等なら可,「エイジングサインをなくす」等は不可,「エイジングサインをなくす」等の若返り表現はNG。使用法に要注意。,医薬品適正広告基準３条（８）
えいじんぐけあ,エイジングケア,不可,「エイジングケアできる」「エイジングケア効果」,「年齢肌にうるおいを与えるエイジングケアができる商品」,エイジングケア効果のある化粧品,「エイジングケア」そのものを効果のように表現することは不可,医薬品適正広告基準３条（８）
あんちえいじんぐ,アンチエイジング,不可,「アンチエイジング」,不可,「アンチエイジング効果のある商品」,アンチエイジングは化粧品の効果を逸脱するため不可。,医薬品適正広告基準３条（８）
こじわ,小じわ,不可（メーキャップ効果で隠れるのは可）,「小じわが気にならなくなった」,可「小じわを隠せる商品」,「小じわが消える商品」,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
もちもち,もちもち,不可（テクスチャなら可）,「もちもち肌に」,テクスチャの説明なら可,ー,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
かんそう,乾燥,不可,「乾燥しないから良い」,公式HPに記載があれば可…「乾燥を防ぐ商品」,「乾燥しない商品」,効果効能の保証になるためNG,医薬品適正広告基準３条（５）
かんそうしない,乾燥しない,不可,「乾燥しないから良い」,不可,「乾燥しない商品」,効果効能の保証になるためNG,
しっとり,しっとり,「洗い上がりがしっとり」「しっとりした使い心地」,ー,可「しっとり仕上げる」等,「しっとり感が続く商品」,効果効能の保証になるためNG,医薬品適正広告基準３条（５）
はいっていく,入っていく,不可,「化粧水が入っていく」「奥まで入っていく」,不可,「化粧水が入っていく商品」,効果効能の保証になるためNG,医薬品適正広告基準３条（５）
けあな,毛穴,不可,「毛穴が隠れる」「毛穴を隠す」,「毛穴が隠せる商品」「毛穴を目立たなくする商品」,「毛穴を引き締める商品」「毛穴を目立たなくする商品」,効果効能のため、メーキャップ効果でない限りNG,医薬品適正広告基準３条（５）
はり,ハリ,不可,「肌にハリができた！」,公式HPに記載があれば可…「ハリを与える商品」,―,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
つっぱり、つっぱる,つっぱり／つっぱる,不可,「つっぱらない」,「つっぱりにくい商品」,「肌がつっぱらない商品」,安全性の保証となるためNG,医薬品適正広告基準３条（５）
つっぱらない,つっぱらない,不可,「洗い上がりもつっぱりにくい」,「つっぱりにくい商品」,「つっぱらない商品」,安全性の保証になるため不可,医薬品適正広告基準３条（６）
すとれす,ストレス,"物理効果と分かる表現と併用なら可
「肌をこすることによるストレスがない」",「ストレスなく使えました」,"物理効果と分かる表現と併用なら可
「肌をこすることによるストレスがない」",「肌ストレスのない商品」,"物理効果ではないストレスについては言及NG
物理効果ストレスを記載したいときは、そう分かるように記載すること",医薬品適正広告基準３条（８）
ふたん,負担,不可,「負担が少ない」,"物理効果と分かる表現と併用なら可
「肌をこすることによる負担がない」",「負担のない商品」,安全性の保証となるためNG,医薬品適正広告基準３条（５）
,保湿力,不可,「保湿力を感じた」,「保湿力のある商品」,「#保湿力」NG,効果効能の保証となるためNG、,医薬品適正広告基準３条（５）
ほしつりょく,保湿,不可,「保湿された」「保湿されているのを感じる」,「保湿ができる商品」,「#保湿」NG,効果効能の保証となるためNG、,医薬品適正広告基準３条（５）
やさしい,優しい,"物理効果と分かる表現と併用なら可
「優しい洗い心地」「優しく洗える」",「肌に優しい」,"物理効果と分かる表現と併用なら可
「優しい使い心地」「優しく洗える」",ー,"物理効果ではない場合、安全性の保証となるためNG
物理効果を表現したい場合は、そう分かるように書くこと",医薬品適正広告基準３条（５）
うるおい,うるおい,「うるおい感のある仕上がり」(メーキャップ効果),,「うるおいを与える商品」,ー,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
いちにちじゅう,１日中,不可,「１日中〇〇」,不可,「一日中〇〇な商品」,効果の持続については言及不可,医薬品適正広告基準３条（７）
よくあさ,翌朝,不可,「翌朝までしっとり」,不可,「翌朝まで〇〇な商品」,効果の持続については言及不可,医薬品適正広告基準３条（７）
ずっと,ずっと,不可,「ずっと〇〇」,不可,「ずっと〇〇な商品」,「ずっと使い続けていきたい」等はOK,医薬品適正広告基準３条（７）
ぴりぴり,ピリピリ,不可,「ぴりぴりしない」,不可,「ぴりぴりしない商品」,安全性の保証となるためNG,医薬品適正広告基準３条（５）
いた,痛み,不可,「痛みがやわらいだ」「痛くなかった」,不可,「痛みをやわらげる商品」,安全性の保証となるためNG,医薬品適正広告基準３条（５）
ひょうひ,表皮,不可,「表皮に浸透する」,不可,「表皮にしっかり浸透する商品」,化粧品の効果を逸脱するため不可。浸透するのは「角層まで」と記載すること,医薬品適正広告基準３条（８）
しんぴ,真皮,不可,「真皮まで浸透」,不可,「真皮まで浸透する商品」,化粧品の効果を逸脱するため不可。浸透するのは「角層まで」と記載すること,医薬品適正広告基準３条（８）
やわらかく,柔らかく,不可,「肌が柔らかくなった」,「肌をやわらげる商品」,―,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
ごわつき,ごわつき,不可,「ごわつきがなくなる」,不可,「肌のごわつきを抑える商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
めいくのり,メイクのり,化粧下地で「上に乗せるメイクのノリが良い」はOK,「メイクのりが良くなった」(スキンケア商品),公式HPに記載があれば可(メイクアップ効果),「メイク乗りをよくする商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
けしょうのり,化粧のり,化粧下地で「上に乗せる化粧ノリが良い」はOK,「化粧のりが良くなった」(スキンケア商品),公式HPに記載があれば可(メイクアップ効果),「化粧乗りをよくする商品」,化粧品の効能効果を逸脱するためNG,
ちょうし,調子,不可,「肌の調子が良い」,不可,「肌の調子を良くする商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
つるつる,つるつる,「つるつる肌目指そう」…効果を期待する表現なら可,「お肌つるつる」「つるんとした肌になった」,不可,「お肌つるつるになる商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
とどく,届く,不可,「お肌に届きました」,「うるおいが角層まで届く商品」※角層が必要,「お肌にうるおいを届ける商品」,効能効果の保証となるため不可。「届く」は浸透表現。,医薬品適正広告基準３条（５）
