検索用,単語,感想,,商品説明,,備考／解説,該当法令★
じぞく,持続,不可,「〇〇が持続します」,公式HPに記載があれば可,ー,効果の持続については言及不可,医薬品適正広告基準３条（７）
つづく,続く,不可,「〇〇が続く」,公式HPに記載があれば可,ー,効果の持続については言及不可,医薬品適正広告基準３条（７）
おちる,落ちる,不可,「メイクが落ちる」,「落ちる商品」「落とせる商品」,ー,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
おちた,落ちた,不可,「汚れがすっきり落ちた」,ー,ー,効果効能の保証となるためNG,
なおる,治る,不可,「肌荒れが治る」,不可,「肌荒れが治る商品」「ニキビに効く商品」,治療効果については言及不可,医薬品適正広告基準３条（８）
ちりょう,治療,不可,「ニキビ治療に」,不可,「ニキビ治療できる商品」,治療効果については言及不可,
おさまる,おさまる,不可,「肌荒れがおさまった」,不可,「肌荒れをおさめる商品」「肌荒れを緩和する商品」,治療効果については言及不可,医薬品適正広告基準３条（８）
くずれない,崩れない,不可,,「崩れにくい商品」,「崩れない商品」「〇時間崩れない商品」,物理効果の場合のみ可,医薬品適正広告基準３条（５）
びんかんはだ,敏感肌,不可,「敏感肌でも安心」「敏感肌でも使える」「敏感肌専用」,「敏感肌向けの商品」「敏感肌用の商品」,「敏感肌用で安心な商品」「敏感肌専用」,安全性の保証となるため体験談はNG。また、”敏感肌専用”はNG,医薬品適正広告基準３条（５）
すべすべ,すべすべ,「すべすべ肌目指そう」…効果を期待する表現なら可,「すべすべになった」,不可,「すべすべになる商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
はだあれ,肌荒れ,不可,「肌荒れに効く」「肌荒れが治る」「荒れた肌にも使えた」,公式HPに記載があれば可…「肌荒れを防ぐ商品」,ー,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
もっちり,もっちり,不可(テクスチャなら可),「もっちり肌に」「もっちり感」,テクスチャなら可,「もっちり肌になる商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
きれいになる,綺麗になる,メーキャップ化粧品による場合可,「肌が綺麗になる」(スキンケア),メーキャップ化粧品による場合可,「肌をきれいにする商品」(スキンケア),化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
きれいになった,綺麗になった,メーキャップ化粧品による場合可,「肌が綺麗になった」「〇〇が綺麗になった」(スキンケア),メーキャップ化粧品による場合可,「肌が綺麗になる商品」(スキンケア),化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
きめ,キメ,不可,「きめが整った」,「肌のキメを整える商品」,―,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
ひきしめ,ひきしめ,不可,「肌がひきしめられた」,「肌をひしきめる商品」,―,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
なめらか,なめらか,不可,「肌がなめらかになった」,「肌をなめらかにする商品」,―,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
にきび,にきび,不可,「にきびに効く」「にきびが治った」,不可,「にきびに効く商品」「ニキビ治療の商品」,治療効果については言及不可,医薬品適正広告基準３条（８）
かんそうはだ,乾燥肌,不可,「乾燥肌を改善」「乾燥肌にいい」,公式HPに記載があれば可…「乾燥肌向けの商品」,「乾燥肌を改善する商品」,改善効果については言及できない,医薬品適正広告基準３条（８）
きく,効く,不可,「〇〇に効く」,不可,「〇〇に効く商品」（医薬品ではないため言えない）,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
こうか,効果,不可,「〇〇効果がある」「効果を感じる」「効果アップ」,「保湿効果のある商品」等５６項目内ならOK,化粧品５６項目外の効果はNG,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
ほご,保護,不可,「肌を保護してくれました」,「肌を保護できる商品」,ー,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
たもつ,保つ,不可,「うるおいを保ってくれる」,「うるおいを保つ商品」「肌を健やかに保つ商品」,ー,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
かさつき,かさつき,不可,「かさつきを解消する」「かさつきがなくなる」,不可,「かさつきを解消できる商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
なめらか,滑らか,不可,「滑らかな肌に」,「滑らかな肌になる商品」,―,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
ふっくら,ふっくら,不可,「ふっくら肌」「毛穴ふっくら」,公式HPに記載があれば可…「ふっくら肌に導く商品」,―,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
よぼう,予防,不可,「〇〇予防できた」,公式HPに記載があれば可（スキンケア）,「〇〇予防の商品」,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
ぜったい,絶対,薬事以外「絶対見て」等は可,「絶対（効果）になる」等はNG,不可,「絶対〇〇になる商品」,効果効能の保証となるためNG,医薬品適正広告基準３条（５）
ひっけん,必見,可…「○○必見」,―,―,―,,
べすこす,ベスコス,「私のベスコス」,←他の投稿との兼ね合いで炎上リスク有,事実でない場合不可,ー,事実でない場合は景表法に抵触するため,景品表示法　虚偽表示
らんきんぐ,ランキング,「私のランキング」,←他の投稿との兼ね合いで炎上リスク有,根拠の記載がない場合不可,「１位の期間」「調査機関」「ランキングの範囲」の記載必須,商品説明に使用すると景表法に抵触するため,景品表示法　優良誤認表示
べすとこすめ,ベストコスメ,「私のベストコスメ」,←他の投稿との兼ね合いで炎上リスク有,事実でない場合不可,ー,事実でない場合が景表法に抵触するため,景品表示法　虚偽表示
げんきがない,元気がない,不可,「元気がない〇〇に効いた」,不可,「元気がない〇〇に効く商品」等,化粧品の効能効果を逸脱するためNG,医薬品適正広告基準３条（８）
はいりこんでいく,入り込んでいく,不可,浸透表現,「※角層まで」が必要,―,「角層まで」をつけるとOKぽいですが、あまり使用している例はないようです(避けた方が良い),医薬品適正広告基準３条（５）（８）
しみこむ,染み込む,不可,浸透表現,「※角層まで」が必要,―,「角層まで」をつけるとOKぽいですが、あまり使用している例はないようです(避けた方が良い),医薬品適正広告基準３条（５）（８）
なかまで,中まで,不可,浸透するのは「角層」まで,不可,浸透するのは「角層」まで,「角層」「髪の内部」以外に浸透するような表現は不可,医薬品適正広告基準３条（５）（８）
ばつぐん,抜群,不可,「効果抜群」「浸透力抜群」,不可,「効果抜群の商品です」「浸透力抜群の商品です」,効能効果の保証になるためNG,医薬品適正広告基準３条（５）
なおった,治った,不可,「〇〇が治った」,―,―,治療効果については医薬品でしか言えない,医薬品適正広告基準３条（８）
なおる,治る,不可,「〇〇が治る」,医薬品であり事実の場合のみ可,「〇〇が治る商品」,治療効果については医薬品でしか言えない,医薬品適正広告基準３条（８）
なおってた,治ってた,不可,「〇〇が治ってた」,―,―,治療効果については医薬品でしか言えない,医薬品適正広告基準３条（８）
よくなった,良くなった,不可,「〇〇が良くなった」,―,―,治療効果については医薬品でしか言えない,医薬品適正広告基準３条（８）
よくなる,良くなる,不可,「〇〇が良くなる」,医薬品であり事実の場合のみ可,「〇〇が良くなる商品」,治療効果については医薬品でしか言えない,医薬品適正広告基準３条（８）
はだよう,肌用,可,―,可,―,「〇〇専用」はNG,医薬品適正広告基準３条（８）
のための,の為の,可,―,可,―,―,ー
はだ,肌,可,―,可,―,―,ー
わかがえった,若返った,不可,「肌が若返った」,不可,若返りについては言及不可,化粧品の効能効果を逸脱するため。人は若返らない。,医薬品適正広告基準３条（８）
とーんあっぷ,トーンアップ,メーキャップ効果かつ事実なら可,スキンケア系商材では不可,メーキャップ化粧品かつ事実なら可,スキンケア系商材では不可,化粧品の効能効果を逸脱するため。スキンケアでトーンアップは不可能,医薬品適正広告基準３条（８）
あかるさ,明るさ,メーキャップ効果かつ事実なら可,スキンケア系商材では不可,メーキャップ化粧品かつ事実なら可,スキンケア系商材では不可,化粧品の効能効果を逸脱するため。スキンケアで肌は明るくなりません。,医薬品適正広告基準３条（８）
あかるく,明るく,メーキャップ効果かつ事実なら可,スキンケア系商材では不可,メーキャップ化粧品かつ事実なら可,スキンケア系商材では不可,化粧品の効能効果を逸脱するため。スキンケアで肌は明るくなりません。,医薬品適正広告基準３条（８）
あかるい,明るい,メーキャップ効果かつ事実なら可,スキンケア系商材では不可,メーキャップ化粧品かつ事実なら可,スキンケア系商材では不可,化粧品の効能効果を逸脱するため。スキンケアで肌は明るくならない,医薬品適正広告基準３条（８）
みずみずしい,みずみずしい,メーキャップ効果かつ事実orテクスチャなら可,スキンケア系商材では不可,可,―,"(NG例)「みずみずしい肌になった」「肌のみずみずしさが増した」
(OK例)「みずみずしい肌に仕上がった(メーキャップ化粧品)」「みずみずしいテクスチャ」「みずみずしい肌に導く商品」",医薬品適正広告基準３条（５）
だめーじ,ダメージ,不可,「ダメージが少ない」「ダメージを軽減」,物理的ダメージなら可(わかるように記載),「肌ダメージを軽減」等は不可,「肌を擦る」等の物理的ダメージの表現なら可。単純な「肌ダメージ」は不可。,医薬品適正広告基準３条（５）
いっさい,一切,不可,「一切～ない」構文,不可,「一切～ない」構文,安全性の保証、効能効果の保証になるためNG,医薬品適正広告基準３条（５）
ぱさつき,ぱさつき,可,「ぱさつき」が商品によって改善する表現は不可,不可,「ぱさつきを改善する商品」等,効能効果の保証となるため不可。,医薬品適正広告基準３条（５）
だんりょく,弾力,不可,「弾力のある肌になる」等不可,テクスチャなら可,「肌に弾力を与える商品」等,化粧品の効能効果を逸脱するため不可,医薬品適正広告基準３条（８）
もちっと,もちっと,不可（テクスチャなら可）,肌の質感等の表現なら不可,テクスチャなら可,「もちもち肌になる商品」,化粧品の効能効果を逸脱するため不可,医薬品適正広告基準３条（８）
モチっと,モチっと,不可（テクスチャなら可）,肌の質感の表現なら不可,テクスチャなら可,「モチっと肌になる商品」,化粧品の効能効果を逸脱するため不可,医薬品適正広告基準３条（８）
ふわふわ,フワフワ,テクスチャなら可…「ふわふわ泡」,肌の質感等の表現なら不可(スキンケア),テクスチャなら可…「ふわふわ泡」,「フワフワ肌になる商品」,化粧品の効能効果を逸脱するため不可,医薬品適正広告基準３条（８）
ふんわり,ふんわり,テクスチャなら可,肌の質感等の表現なら不可(スキンケア),テクスチャなら可,「ふんわり肌になる商品」,化粧品の効能効果を逸脱するため不可,医薬品適正広告基準３条（８）
やさしく,優しく,物理効果なら可「泡で優しく洗える」,物理効果以外は安全性の保証,可,「優しいから安心」は不可,安全性の保証になるため不可,医薬品適正広告基準３条（６）
ぷるぷる,ぷるぷる,テクスチャなら可,肌の質感等の表現なら不可,「〇〇がぷるぷるになる商品」,ー,ー,ー
うるうる,うるうる,テクスチャなら可,肌の質感等の表現なら不可,「〇〇がうるうるになる商品」,ー,ー,ー
ふっかつ,復活,メーキャップ効果なら可？,スキンケアは不可,メーキャップ効果なら可？,スキンケアは不可,「〇〇肌が復活」「肌の〇〇が復活」はNG,医薬品適正広告基準３条（８）
24じかん,24時間,不可,時間経過後の感想はNG,不可,時間経過後の感想はNG/「24時間落ちない」は根拠を記載,効能効果の保証となるため不可,医薬品適正広告基準３条（５）
つぎのひ,次の日,不可,時間経過後の感想はNG,不可,時間経過後の感想はNG,効能効果の保証となるため不可,医薬品適正広告基準３条（５）
ひりひり,ヒリヒリ,不可,「ヒリヒリしない」は安全性の保証,不可,「ヒリヒリしない」は安全性の保証,安全性の保証となるため不可,医薬品適正広告基準３条（６）
とどける,届ける,不可,―,不可,―,「角層まで届ける」ならOKぽいですが、あまり使用している例はないようです(避けた方が良い),医薬品適正広告基準３条（５）（８）
つづきました,続きました,不可,効果の持続については言及不可,不可,効果の持続については言及不可,化粧品の効能効果を逸脱するため不可,医薬品適正広告基準３条（８）
つづいた,続いた,不可,効果の持続については言及不可,不可,効果の持続については言及不可,化粧品の効能効果を逸脱するため不可,医薬品適正広告基準３条（８）
おさまる,治まる,不可,治療効果には言及不可,不可,治療効果には言及不可,治療効果については医薬品のみに許された表現のため,医薬品適正広告基準３条（８）
おさめる,治める,不可,治療効果には言及不可,不可,治療効果には言及不可,治療効果については医薬品のみに許された表現のため,医薬品適正広告基準３条（８）
よわい,弱い,微妙,「刺激が弱い」等は安全性の保証のため不可。,微妙,「刺激が弱い」等は安全性の保証のため不可,安全性の保証or効能効果の保証のためNG,医薬品適正広告基準３条（６）（８）
しんだん,診断,不可,「診断」は医者がする為、記載不可,※クライアントが題しているツール名の場合は可,―,ー,ー
むてんか,無添加,―,―,何が無添加なのか書くこと「無添加(食塩、砂糖)」等,―,「無添加」だけでは何が添加されていないか不明のため,医薬品適正広告基準３条（６）
しみない,しみない,不可,「肌にしみない」,不可,「肌にしみない」等,安全性の保証のためNG,医薬品適正広告基準３条（６）
しみる,しみる,不可,「肌にしみることがない」,不可,―,「しみることがない」は安全性の保証のためNG。「肌にしみる商品」はそもそも言う機会ないかと,医薬品適正広告基準３条（６）
あれ,荒れ,不可,「肌荒れが治った」,「肌荒れを防ぐ商品」であれば可,「肌荒れを治す」は医薬品のみ,治療効果は医薬品のみ。「荒れた肌にも使える」は安全性の保証,医薬品適正広告基準３条（８）（６）
はだしつ,肌質,自分の肌質に関する言及は可,「肌質が変化した」等は不可,不可,「肌質が変化する商品」等は不可,化粧品の効能効果から逸脱するため,医薬品適正広告基準３条（８）
ひっす,必須,→【炎上懸念ワード】参照,炎上リスクに注意すること,―,必須かどうかは本人が決める,必須か否かは本人が決めることのため。炎上リスクに注意。,ー
ますと,マスト,→【炎上懸念ワード】参照,炎上リスクに注意すること,―,マストかどうかは本人が決める,マストか否かは本人が決めることのため。炎上リスクに注意。,ー
きゅうせいしゅ,救世主,可(炎上リスク有)→【炎上懸念ワード】参照,別に悪いとは言わんけど言葉強いので前後の文脈で判断,―,ー,言葉が強い。炎上リスクに注意。→【炎上懸念ワード】参照,ー
ふせぐ,防ぐ,不可,「〇〇を防ぐ」,化粧品56項目内であれば可→【法令とかまとめ】参照,化粧品56項目外のものは不可,→【法令とかまとめ】参照。,ー
ふせいだ,防いだ,不可,「〇〇を防いだ」,化粧品56項目内であれば可→【法令とかまとめ】参照,化粧品56項目外のものは不可,　　　　　〃,ー
そっこう,速攻,不可,「速攻で効いた」「速攻〇〇」,事実である限り可,―,効能効果の発現程度は事実でなければ言及不可,医薬品適正広告基準３条（７）
ひきしまった,引き締まった,不可,「顔が引き締まった」「毛穴が引き締まる」,化粧品等では不可,「顔が引き締まった」「毛穴が引き締まった」,化粧品の効能効果から逸脱するため,医薬品適正広告基準３条（８）
ひきしまる,引き締まる,不可,「顔が引き締まる」「毛穴が引き締まる」,化粧品等では不可,「顔が引き締まる」「毛穴が引き締まる」,化粧品の効能効果から逸脱するため,医薬品適正広告基準３条（８）
りらっくす,リラックス,「リラックスタイムに使う」等,「いい香りでリラックスできる」「リラックス効果」等,「リラックスタイムに使える商品」,「リラックス効果のある商品」,精神作用への言及はできない,医薬品適正広告基準３条（８）
いやし,癒やされる,「癒しの時間に使う」等,「癒し効果もある香り」「癒し効果」等,「癒しの時間を演出する商品」,「癒し効果のある商品」,精神作用への言及はできない,医薬品適正広告基準３条（８）
なじむ,馴染む,可…肌馴染みがいい,―,可,―,,
はだなじみ,肌馴染み,可,―,可,―,,